GPU VS CPU
img name = butterfly,img size = 2086 x 3130
gpu time, cpu time
0.011416,0.338154
0.010584,0.214203
0.010587,0.214428
0.010603,0.156930
0.010599,0.214524
0.010608,0.214323
0.010638,0.214612
0.010591,0.214436
0.010581,0.214146
0.010595,0.214400
0.010587,0.178690
0.010591,0.159586
0.010585,0.161916
0.010635,0.170843
0.010584,0.214398
0.010588,0.214419
0.010603,0.214296
0.010598,0.187792
0.010596,0.168968
0.010650,0.170285
