GPU VS CPU
img name = control,img size = 2400 x 3840
gpu time, cpu time
0.015541,0.341454
0.014748,0.227464
0.014849,0.227445
0.014808,0.227500
0.014809,0.226820
0.014820,0.227671
0.014811,0.227537
0.014814,0.225118
0.014820,0.208579
0.014806,0.227538
0.014808,0.226793
0.014810,0.227207
0.014853,0.226835
0.014811,0.227570
0.014807,0.227407
0.014827,0.227508
0.014813,0.226982
0.014824,0.227473
0.014810,0.227669
0.014822,0.226823
